year,anomaly,total_uncertainty,uncorrelated_uncertainty,correlated_uncertainty,bias_uncertainty,coverage_uncertainty,lower_bound_95pct_bias_uncertainty_range,upper_bound_95pct_bias_uncertainty_range
1850,-0.291801,0.111393,0.009143,0.092550,0.032238,0.052154,-0.358658,-0.243597
1851,-0.176054,0.112537,0.009598,0.097207,0.031824,0.045940,-0.240318,-0.126436
1852,-0.167859,0.107004,0.009138,0.091692,0.030385,0.045119,-0.227567,-0.119599
1853,-0.195570,0.094381,0.007942,0.078296,0.028246,0.043778,-0.247939,-0.149775
1854,-0.254887,0.087261,0.007244,0.073243,0.026751,0.038495,-0.305884,-0.210439
1855,-0.227289,0.086669,0.006213,0.069269,0.026227,0.044573,-0.276247,-0.182449
1856,-0.291132,0.082913,0.005635,0.067883,0.025126,0.040043,-0.338089,-0.247963
1857,-0.413921,0.085610,0.005539,0.066545,0.023547,0.048123,-0.457743,-0.373555
1858,-0.389855,0.089247,0.006068,0.073045,0.023144,0.045354,-0.430269,-0.348018
1859,-0.265877,0.087314,0.006440,0.073745,0.022151,0.040660,-0.305227,-0.225663
1860,-0.224461,0.091794,0.006973,0.073996,0.020819,0.049685,-0.260443,-0.186099
1861,-0.351801,0.106674,0.008194,0.075078,0.020693,0.072438,-0.386771,-0.312983
1862,-0.385544,0.108059,0.008093,0.076045,0.019166,0.073900,-0.417671,-0.347879
1863,-0.316497,0.108352,0.007951,0.065816,0.019451,0.083468,-0.348840,-0.278845
1864,-0.356862,0.099810,0.007819,0.060361,0.018411,0.076931,-0.387356,-0.319458
1865,-0.201395,0.106004,0.008528,0.056844,0.017720,0.087287,-0.231139,-0.165515
1866,-0.195415,0.104129,0.008560,0.061770,0.018168,0.081388,-0.226591,-0.157807
1867,-0.193912,0.103359,0.008632,0.057377,0.016823,0.083865,-0.221692,-0.158766
1868,-0.204358,0.111642,0.008259,0.082845,0.016192,0.072596,-0.232275,-0.170012
1869,-0.272686,0.096846,0.008121,0.067037,0.016113,0.067524,-0.302629,-0.238194
1870,-0.214092,0.083474,0.007994,0.057709,0.015988,0.057603,-0.242521,-0.179276
1871,-0.219573,0.089054,0.008372,0.064747,0.014897,0.058706,-0.247200,-0.188301
